Ship_Mode,Category,Total Sales,Total Discount
Second Class,Office Supplies,11193.8174,8.97
Second Class,Technology,9929.296119999994,5.604000000000001
Standard Class,Furniture,32597.344399999987,16.07999999999999
Standard Class,Technology,48457.39016000002,11.069999999999997
Standard Class,Office Supplies,30753.833999999995,46.44000000000002
First Class,Office Supplies,12203.005,7.900000000000003
Second Class,Furniture,13172.490999999998,3.4200000000000004
First Class,Technology,10185.629499999997,3.8500000000000005
Same Day,Office Supplies,3417.6799999999994,3.6000000000000005
Same Day,Furniture,7100.749999999999,1.0999999999999999
Same Day,Technology,1318.2600000000002,0.0
First Class,Furniture,8564.444999999998,3.3000000000000003
